NCIt Subset Code,CDRH Subset Name,NCIt Concept Code,NCIt Preferred Term,NCIt Definition,CDRH Preferred Term,CDRH Source Code,CDRH Definition,IMDRF Code
C54451,Medical Device Problem,C63283,Capacitative Coupling,Problem associated with the transfer of energy within an electrical network by means of the capacitance between circuit nodes. It occurs when energy is coupled from one circuit to another through an electric field.,Capacitative Coupling,1079,Problem associated with the transfer of energy within an electrical network by means of the capacitance between circuit nodes. It occurs when energy is coupled from one circuit to another through an electric field.,IMDRF:A072101
C54451,Medical Device Problem,C63216,Electrical Shorting,Problem associated with an electric current travelling along an accidental path (unintended path) in a circuit.,Electrical Shorting,2926,Problem associated with an electric current travelling along an accidental path (unintended path) in a circuit.,IMDRF:A072102
C54451,Medical Device Problem,C63068,Intermittent Continuity,Problem associated with intermittent faults in electrical/electronic interconnections.,Intermittent Continuity,1121,Problem associated with intermittent faults in electrical/electronic interconnections.,IMDRF:A072103
C54451,Medical Device Problem,C63114,Impedance Problem,Problem associated with electrical impedance levels between device and patient connections.,Impedance Problem,2950,Problem associated with electrical impedance levels between device and patient connections.,IMDRF:A0722
C54451,Medical Device Problem,C63124,High Impedance,Problem associated with higher than intended electrical impedance levels between device and patient connections.,High impedance,1291,Problem associated with higher than intended electrical impedance levels between device and patient connections.,IMDRF:A072201
C54451,Medical Device Problem,C63047,Low Impedance,Problem associated with lower than intended electrical impedance levels between device and patient connections.,Low impedance,2285,Problem associated with lower than intended electrical impedance levels between device and patient connections.,IMDRF:A072202
C54451,Medical Device Problem,C193379,Device in back-up Mode,"A device found in back-up mode. This may be an appropriate fail-safe action (e.g. end of battery life), or be caused by device malfunction or due to operator error.",Device in Backup-mode,4076,"A device found in back-up mode. This may be an appropriate fail-safe action (e.g. end of battery life), or be caused by device malfunction or due to operator error.",IMDRF:A0723
C54451,Medical Device Problem,C63028,Calibration Problem,"Problem associated with the operation of a device, related to its accuracy, and associated with the calibration of the device.",Calibration Problem,2890,"Problem associated with the operation of the device, related to its accuracy, and associated with the calibration of the device.",IMDRF:A08
C54451,Medical Device Problem,C62994,Failure to Calibrate Problem,Problem associated with the failure of the device to perform a self-calibration procedure or process designed to assure the accuracy and proper performance of the device.,Failure to Calibrate,2440,Problem associated with the failure of the device to perform a self-calibration procedure or process designed to assure the accuracy and proper performance of the device.,IMDRF:A0801
C54451,Medical Device Problem,C63241,Failure to Recalibrate,Problem associated with the failure of the device which is unable to regain a standard level of accuracy when performing a calibration procedure or process designed to assure the accuracy and proper performance of the device.,Failure to Recalibrate,1517,Problem associated with the failure of the device which is unable to regain a standard level of accuracy when performing a calibration procedure or process designed to assure the accuracy and proper performance of the device.,IMDRF:A0802
C54451,Medical Device Problem,C63113,Device Imprecision,Problem associated with the device providing imprecise measurements when compared to a reference standard.,Imprecision,1307,Problem associated with the device providing imprecise measurements when compared to a reference standard.,IMDRF:A0803
C54451,Medical Device Problem,C72890,Overcorrection,Problem associated with an adjustment that surpasses a set of criteria.,Overcorrection,3006,Problem associated with an adjustment that surpasses a set of criteria.,IMDRF:A0804
C54451,Medical Device Problem,C172043,Undercorrection,Problem associated with an adjustment that falls below a set of criteria.,Undercorrection,4058,Problem associated with an adjustment that falls below a set of criteria.,IMDRF:A0805
C54451,Medical Device Problem,C62941,Output Problem,"Problem associated with any deviation from the documented specifications of the device that relate to the end result, data, or test results provided by the device.",Output Problem,3005,"Problem associated with any deviation from the documented specifications of the device that relate to the end result, data, or test results provided by the device.",IMDRF:A09
C54451,Medical Device Problem,C133545,Audible Prompt/Feedback,Problem with any deviation from the documented specifications of a device that relates to audible feedback.,Audible Prompt/Feedback Problem,4020,"Problem with any deviation from the documented specifications of the device that relate to audible feedback. e.g. voice prompts or beeps, but not safety related alarms which are covered under ""Protective Measures Problem"".",IMDRF:A0901
C54451,Medical Device Problem,C63094,Inappropriate Audible Prompt/Feedback,Problem with audible messages which do not guide a device user to the correct action.,Inappropriate Audible Prompt/Feedback,2280,Problem with audible messages which do not guide a device user to the correct action.,IMDRF:A090101
C54451,Medical Device Problem,C63092,Inaudible or Unclear Audible Prompt/Feedback,Problem associated with audible prompts which cannot be heard clearly.,Inaudible or Unclear Audible Prompt/Feedback,2283,Problem associated with audible prompts which cannot be heard clearly.,IMDRF:A090102
C54451,Medical Device Problem,C62899,No Audible Prompt/Feedback,Problem associated with the device ceasing to provide audible prompts.,No Audible Prompt/Feedback,2282,Problem associated with the device ceasing to provide audible prompts.,IMDRF:A090103
C54451,Medical Device Problem,C63088,Display or Visual Feedback Problem,"Problem with any deviation from the documented specifications of the device that relate to visual feedback. e.g. the display of information, images on a screen, or output from the device.",Display or Visual Feedback Problem,1184,"Problem with any deviation from the documented specifications of the device that relate to visual feedback. e.g. the display of information, images on a screen, or output from the device.",IMDRF:A0902
C54451,Medical Device Problem,C63205,Device Displays Incorrect Message,Problem associated with providing incorrect display information.,Device Displays Incorrect Message,2591,Problem associated with providing incorrect display information.,IMDRF:A090201
C54451,Medical Device Problem,C63221,Display Difficult to Read,"Problem associated with legibility of the device display, compromising for instance, the reading/interpretation of patient parameters or test results. Legibility problems can be due to color, size of font, display screen contrast or other factors.",Display Difficult to Read,1181,"Problem associated with legibility of the display, compromising for instance  the reading/interpretation of patient parameters or test results. Legibility problems can be due to color, size of font, display screen contrast or other factors.",IMDRF:A090202
C54451,Medical Device Problem,C63207,Erratic or Intermittent Display,"A device that does not consistently display the same message, result, reading, or image. e.g. the display might flicker, switch between readings or messages, or go completely blank for brief periods of time.",Erratic or Intermittent Display,1182,"A device does not consistently display the same message, result, reading, or image. e.g. the display might flicker, switch between readings or messages, or go completely blank for brief periods of time.",IMDRF:A090203
C54451,Medical Device Problem,C63117,Image Display Error/Artifact,Problem with image display leading to corrupted images or readouts/measurement indications.,Image Display Error/Artifact,1304,Problem with image display leading to corrupted images or readouts/measurement indications.,IMDRF:A090204
C54451,Medical Device Problem,C62887,Image Orientation Incorrect,Problem associated with an incorrect image orientation on the device display.,Image Orientation Incorrect,1305,Problem associated with an incorrect image orientation on the device display.,IMDRF:A090205
C54451,Medical Device Problem,C62904,No Display/Image,Problem associated with the absence of display or image.,No Display/Image,1183,Problem associated with the absence of display or image.,IMDRF:A090206
C54451,Medical Device Problem,C133546,No Visual Prompts/Feedback,Problem associated with the device ceasing to provide visual feedback.,No Visual Prompts/Feedback,4021,Problem associated with the device ceasing to provide visual feedback.,IMDRF:A090207
C54451,Medical Device Problem,C62869,Poor Quality Image,"Inadequate quality of an image or any visual representation displayed by the device, or output from the device.",Poor Quality Image,1408,"Inadequate quality of an image or any visual representation displayed by the device, or output from the device.",IMDRF:A090208
C54451,Medical Device Problem,C62861,Visual Prompts will not Clear,Problem with visual messages which continue to be displayed on/by the device after the appropriate action has been taken.,Visual Prompts will not Clear,2281,Problem with visual messages which continue to be displayed on/by the device after the appropriate action has been taken.,IMDRF:A090209
C54451,Medical Device Problem,C133547,Tactile Prompts/Feedback,"Problem with any deviation from the documented specifications of the device that relates to tactile feedback, e.g. device vibrational prompt.",Tactile Prompts/Feedback,4022,Problem with any deviation from the documented specifications of the device that relate to tactile feedback. e.g device vibrational prompt.,IMDRF:A0903
C54451,Medical Device Problem,C133551,Inappropriate Tactile Prompt/Feedback,Problem with tactile feedback which does not guide a device user to the correct action.,Inappropriate Tactile Prompt/Feedback,4023,Problem with tactile feedback which does not guide a device user to the correct action.,IMDRF:A090301
C54451,Medical Device Problem,C133559,No Tactile Prompts/Feedback,Problem associated with the device ceasing to provide tactile feedback.,No Tactile Prompts/Feedback,4024,Problem associated with the device ceasing to provide tactile feedback.,IMDRF:A090302
C54451,Medical Device Problem,C63002,Energy Output Problem,Problem with the device's intended output of energy.,Energy Output Problem,1431,Problem with the device's intended output of energy.,IMDRF:A0904
C54451,Medical Device Problem,C63000,Energy Spectrum Incorrect,Problem associated with the energy output from the device not being in the expected part of the spectrum.,Energy Spectrum Incorrect,1210,Problem associated with the energy output from the device not being in the expected part of the spectrum.,IMDRF:A090401
C54451,Medical Device Problem,C63184,Failure to Deliver Energy,Problem associated with the failure of the device to deliver any energy.,Failure to Deliver Energy,1211,Problem associated with the failure of the device to deliver any energy.,IMDRF:A090402
C54451,Medical Device Problem,C133561,Intermittent Energy Output,Problem associated with the energy output from the device being inconsistent over time.,Intermittent Energy Output,4025,Problem associated with the energy output from the device being inconsistent over time.,IMDRF:A090403
C54451,Medical Device Problem,C62943,Output above Specifications,Device output is exceeding the documented specifications of the device.,Output above Specifications,1432,Device output is exceeding the documented specifications of the device.,IMDRF:A090404
C54451,Medical Device Problem,C62942,Output below Specifications,Device output is below the documented specifications of the device.,Output below Specifications,3004,Device output is below the documented specifications of the device.,IMDRF:A090405
C54451,Medical Device Problem,C62828,Therapeutic or Diagnostic Output Failure,Problem associated with the failure of the device to deliver the output required for treatment or identification of a disease.,Therapeutic or Diagnostic Output Failure,3023,Problem associated with the failure of the device to deliver the output required for treatment or identification of a disease.,IMDRF:A090406
C54451,Medical Device Problem,C62858,Therapy Delivered to Incorrect Body Area,Problem associated with the device causing unintended therapeutic action to an area of the body other than the intended area.,Therapy Delivered to Incorrect Body Area,1508,Problem associated with the device causing unintended therapeutic action to an area of the body other than the intended area.,IMDRF:A090407
C54451,Medical Device Problem,C133562,Radiation Output Problem,Problem with the device's intended output of radiation.,Radiation Output Problem,4026,Problem with the device's intended output of radiation.,IMDRF:A0905
C54451,Medical Device Problem,C133569,Radiation Output Failure,Problem associated with the absence of radiation output from radiological or diagnostic devices.,Radiation Output Failure,4027,Problem associated with the absence of radiation output from radiological or diagnostic devices.,IMDRF:A090501
C54451,Medical Device Problem,C72892,Radiation Overexposure,Problem associated with excessive radiation emitted from radiological or diagnostic devices.,Radiation Overexposure,3017,Problem associated with excessive radiation emitted from radiological or diagnostic devices.,IMDRF:A090502
C54451,Medical Device Problem,C72893,Radiation Underexposure,Problem associated with too little radiation emitted from radiological or diagnostic devices.,Radiation Underexposure,3018,Problem associated with too little radiation emitted from radiological or diagnostic devices.,IMDRF:A090503
C54451,Medical Device Problem,C133571,Unexpected/Unintended Radiation Output,"Device-emitted radiation when it was not supposed to. This applies to devices which are intended to emit radiation, and the radiation being emitted from the correct part of the device, but at an incorrect time.",Unexpected/Unintended Radiation Output,4028,"Device-emitted radiation when it was not supposed to. This applies to devices which are intended to emit radiation, and the radiation being emitted from the correct part of the device, but at an incorrect time. Use ""radiation leak"" if the device emits radiation which should never have been emitted, or from a location from which it should never be emitted.",IMDRF:A090504
C54451,Medical Device Problem,C63109,Gas Output Problem,Problem associated with gas output.,Gas Output Problem,1266,Problem associated with gas output.,IMDRF:A0906
C54451,Medical Device Problem,C62900,No Device Output,"Problem associated with no measurement outcome, value or data obtained from the device.",No Device Output,1435,"Problem associated with no measurement outcome, value or data obtained from the device.",IMDRF:A0907
C54451,Medical Device Problem,C62848,"Incorrect, Inadequate or Imprecise Result or Readings","Problem associated with a nonconforming end result, data, or test results provided by the device to its performance specifications.","Incorrect, Inadequate or Imprecise Result or Readings",1535,"Problem associated with a nonconforming end result, data, or test results provided by the device to its performance specifications.",IMDRF:A0908
C54451,Medical Device Problem,C63300,Signal Artifact,Problem associated with impurities or interference in a signal (e.g. ECG artifact).,Signal Artifact/Noise,1036,Problem associated with impurities or interference in a signal (e.g. ECG artifact).,IMDRF:A090801
C54451,Medical Device Problem,C63172,Failure to Obtain Sample,The device does not collect or transfer the sample as intended.,Failure to Obtain Sample,2533,The device does not collect or transfer the sample.,IMDRF:A090802
C54451,Medical Device Problem,C63149,False Negative Result,Problem associated with the device incorrectly reporting that something has not been detected and may mislead the operator into not taking certain actions when action should be taken.,False Negative Result,1225,Problem associated with the device incorrectly reporting that something has not been detected and may mislead the operator/user/HCP into not taking certain actions when action should be taken.,IMDRF:A090803
C54451,Medical Device Problem,C63147,False Positive Result,Problem associated with the device incorrectly reporting that something has been detected and may mislead the operator to take certain actions.,False Positive Result,1227,Problem associated with the device incorrectly reporting that something has been detected and may mislead the operator/user/HCP to take certain actions.,IMDRF:A090804
C54451,Medical Device Problem,C63085,Incorrect Measurement,Measurement obtained from or provided by the device is obviously incorrect.,Incorrect Measurement,1383,Measurement obtained from or provided by the device is obviously incorrect.,IMDRF:A090805
C54451,Medical Device Problem,C133574,Non-Reproducible Results,Device results that cannot be reliably reproduced.,Non Reproducible Results,4029,Device results cannot be reliably reproduced.,IMDRF:A090806
C54451,Medical Device Problem,C63123,High Readings,Reading provided by the device is too high or higher than expected.,High Readings,2459,Reading provided by the device is too high or higher than expected.,IMDRF:A090807
C54451,Medical Device Problem,C63046,Low Readings,Reading provided by the device is too low or lower than expected.,Low Readings,2460,Reading provided by the device is too low or lower than expected.,IMDRF:A090808
C54451,Medical Device Problem,C63122,High Test Results,Test results provided by the device are too high or higher than expected.,High Test Results,2457,Test results provided by the device are too high or higher than expected.,IMDRF:A090809
C54451,Medical Device Problem,C63045,Low Test Results,Test results provided by the device are too low or lower than expected.,Low Test Results,2458,Test results provided by the device are too low or lower than expected.,IMDRF:A090810
C54451,Medical Device Problem,C62826,Unable to Obtain Readings,The device does not provide or display a valid reading.,Unable to Obtain Readings,1516,The device does not provide or display a valid reading.,IMDRF:A090811
C54451,Medical Device Problem,C95878,Missing Test Results,Problem associated with the results of a test or measurement not appearing.,Missing Test Results,3267,Problem associated with the results of a test or measurement not appearing.,IMDRF:A090812
C54451,Medical Device Problem,C172080,Erratic Results,Erroneous/discrepant results which combine high/low and/or positive/negative results.,Erratic Results,4059,Reports of erroneous/discrepant results which combine high/low and/or positive/negative results. This term is not to be selected where reports indicate consistently high or low or false positive or false negative results.,IMDRF:A090813
C54451,Medical Device Problem,C187257,Poor Visibility,"Implanted device is difficult to detect on imaging modalities, e.g. insufficient visibility.",Poor Visibility,4072,"Implanted device is difficult to detect on imaging modalities, e.g. insufficient visibility.",IMDRF:A090814
C54451,Medical Device Problem,C62821,Unexpected Therapeutic Result,Problem associated with the use of a medical device for therapeutic purposes.,Unexpected Therapeutic Results,1631,Problem associated with the use of the device for therapeutic purposes.,IMDRF:A0909
C54451,Medical Device Problem,C62922,Temperature Problem,Problem associated with the device producing unintended temperatures.,Temperature Problem,3022,Problem associated with the device producing unintended temperatures.,IMDRF:A10
C54451,Medical Device Problem,C63202,Excessive Cooling,Problem associated with the device producing temperatures that are lower than specified.,Excessive Cooling,2932,Problem associated with the device producing temperatures that are lower than specified.,IMDRF:A1001
C54451,Medical Device Problem,C133576,Excessive Heating,"Problem associated with the device which has a warming or heating function, and is producing excessive heat.",Excessive Heating,4030,"Problem associated with the device which have a warming or heating function, producing excessive heat.",IMDRF:A1002
C54451,Medical Device Problem,C63071,Insufficient Cooling,Problem associated with the device insufficiently cooled in device active (working) or/and non-active (nonworking) state.,Insufficient Cooling,1130,Problem associated with the device insufficiently cooled in device active (working) or/and non-active (nonworking) state.,IMDRF:A1003
C54451,Medical Device Problem,C63070,Insufficient Heating,Problem associated with the device or its components producing temperatures that are not as high as what is specified.,Insufficient Heating,1287,Problem associated with the device or its components producing temperatures that are not as high as what is specified.,IMDRF:A1004
C54451,Medical Device Problem,C62883,Overheating of Device,"Problem associated with the device producing high temperatures, such that its operation is compromised or harm is caused (e.g. overheating that produces melting of components or automatic shutdown).",Overheating of Device,1437,"Problem associated with the device producing high temperatures, such that its operation is compromised or harm is caused (e.g. overheating that produces melting of components or automatic shutdown).",IMDRF:A1005
C54451,Medical Device Problem,C63286,Thermal Decomposition of Device,Problems associated with a discoloration or destruction as a result of thermal decomposition of the device.,Thermal Decomposition of Device,1071,Problems associated with a discoloration or destruction as a result of thermal decomposition of the device.,IMDRF:A1006
C54451,Medical Device Problem,C63143,Device Fire,Problem associated with the combustion of the device with a steady flame.,Fire,1245,Problem associated with the combustion of the device with a steady flame.,IMDRF:A1007
C54451,Medical Device Problem,C63140,Flare or Flash,Problem associated with the device-related burn with an unsteady flame.,Flare or Flash,2942,Problem associated with device-related burn with an unsteady flame.,IMDRF:A1008
C54451,Medical Device Problem,C63003,Device Smoking,"Problem associated with a cloud of vapor or gas generated from the device, generally associated after a fire or a burn.",Smoking,1585,"Problem associated with a cloud of vapor or gas generated from the device, generally associated after a fire or a burn.",IMDRF:A1009
C54451,Medical Device Problem,C63269,Computer Software Problem,"Issue associated with written programs, codes, and/or software system that affects device performance or communication with another device.",Computer Software Problem,1112,"Problem associated with written programs, codes, and/or software system that affects device performance or communication with another device.",IMDRF:A11
C54451,Medical Device Problem,C64349,Application Network Problem,Problem associated with the deviations from documented system specifications that affects overall system performance and/or the performance of an individual medical device connected to that system.,Application Network Problem,2879,Problem associated with the deviations from documented system specifications that affects overall system performance and/or the performance of an individual device connected to that system.,IMDRF:A1101
C54451,Medical Device Problem,C63305,Application Program Problem,Problem associated with the requirement for software to fulfill its function within an intended use or application.,Application Program Problem,2880,Problem associated with the requirement for software to fulfill its function within an intended use or application.,IMDRF:A1102
C54451,Medical Device Problem,C133578,"Application Program Freezes, Becomes Nonfunctional",Problem associated with freezing and/or becoming nonfunctional of an application program.,"Application Program Freezes, Becomes Nonfunctional",4031,Problem associated with freezing and/or becoming nonfunctional of an application program.,IMDRF:A110201
C54451,Medical Device Problem,C63220,Dose Calculation Error in Application Program,Problem associated with the written program code or application software used by a device to calculate specific measurements or quantities managed by the device.,Application Program Problem: Dose Calculation Error,1189,Problem associated with the written program code or application software used by the device to calculate specific measurements or quantities managed by the device.,IMDRF:A110202
C54451,Medical Device Problem,C91396,Medication Error due to Application Program Problem,An error in medication preparation or administration attributed to software.,Application Program Problem: Medication Error,3198,Event in which the device software results in errors of medication preparation or administration.,IMDRF:A110203
C54451,Medical Device Problem,C63083,Parameter Calculation Error due to Application Program Problem,Problem associated with the written program code or application software used by a device to calculate parameters other than those related to dose or power.,Application Program Problem: Parameter Calculation Error,1449,Problem associated with the written program code or application software used by the device to calculate parameters other than those related to dose or power.,IMDRF:A110204
C54451,Medical Device Problem,C62916,Power Calculation Error due to Application Program Problem,Problem associated with the written program code or application software used by a device for calculations related to device power.,Application Program Problem: Power Calculation Error,1473,Problem associated with the written program code or application software used by the device for calculations related to device power.,IMDRF:A110205
C54451,Medical Device Problem,C63304,Application Program Version or Upgrade Problem,Problem associated with installing updates to a software system that affects a device performance or communication with another device.,Application Program Version or Upgrade Problem,2881,Problem associated with installing updates to a software system that affects the device performance or communication with another device.,IMDRF:A110206
C54451,Medical Device Problem,C67507,Problem with Software Installation,Problem associated with installing a medical device software in a manner that allows full functioning of a medical device. Source of installation could be manufacturer or user.,Problem with Software Installation,3013,Problem associated with installing the device software in a manner that allows full functioning of the device. Source of installation could be manufacturer or user.,IMDRF:A110207
C54451,Medical Device Problem,C133594,Unintended Application Program Shut Down,Problem associated with an unintended shut down by malfunction of the application program.,Unintended Application Program Shut Down,4032,Problem associated with an unintended shut down by malfunction of the application program.,IMDRF:A110208
C54451,Medical Device Problem,C133593,Program or Algorithm Execution Problem,Problem associated with execution problems relating to program or algorithm.,Program or Algorithm Execution Problem,4033,Problem associated with execution problems relating to program or algorithm.,IMDRF:A1103
C54451,Medical Device Problem,C133599,Delayed Program or Algorithm Execution,Problem associated with a delayed execution relating to program or algorithm.,Delayed Program or Algorithm Execution,4034,Problem associated with delayed execution relating to program or algorithm.,IMDRF:A110301
C54451,Medical Device Problem,C133603,Intermittent Program or Algorithm Execution,Problem associated with intermittent execution relating to program or algorithm.,Intermittent Program or Algorithm Execution,4035,Problem associated with intermittent execution relating to program or algorithm.,IMDRF:A110302
C54451,Medical Device Problem,C133625,Program or Algorithm Execution Failure,Problem associated with the failure of a program or algorithm to execute. Sudden /unexpected interruption to a program's execution.,Program or Algorithm Execution Failure,4036,Problem associated with the failure of a program or algorithm to execute. Sudden/unexpected interruption to a program's execution.,IMDRF:A110303
C54451,Medical Device Problem,C63270,Computer Operating System Problem,"Problem associated with software, firmware, and/or hardware elements that control the execution of computer programs and provides such services as computer resource allocation, job control, input/output control, and file management in a computer system.",Computer Operating System Problem,2898,"Problem associated with software, firmware, and/or hardware elements that control the execution of computer programs and provides such services as computer resource allocation, job control, input/output control, and file management in a computer system.",IMDRF:A1104
C54451,Medical Device Problem,C62894,Operating System Interface Becomes Non-Functional,Problem associated with malfunction of the computer operating system as opposed to an application software problem.,Operating System Becomes Nonfunctional,2996,Problem associated with malfunction of the computer operating system as opposed to an application software problem.,IMDRF:A110401
C54451,Medical Device Problem,C62893,Operating System Version or Upgrade Problem,Problem associated with replacing an older operating system to an up-to-date operating system.,Operating System Version or Upgrade Problem,2997,Problem associated with replacing an older operating system to an up-to-date operating system.,IMDRF:A110402
C54451,Medical Device Problem,C64348,Computer System Security Problem,"Problem associated with unauthorized access to or modification of a software system resulting in a loss of confidentiality, integrity, or availability of written program code, application software, or data or entire device.",Computer System Security Problem,2899,"Problem associated with unauthorized access to or modification of a software system resulting in a loss of confidentiality, integrity, or availability of written program code, application software, or data or entire device.",IMDRF:A1105
C54451,Medical Device Problem,C63042,Application Security Problem,"Problem associated with the acquisition of computer programming codes that can replicate and spread from one computer system to another thereby leading to damaged software, hardware and data.",Application Security Problem,2882,"Problem associated with the acquisition of computer programming codes that can replicate and spread from one computer system to another thereby leading to damaged software, hardware and data.",IMDRF:A110501
C54451,Medical Device Problem,C63259,Unauthorized Access to Computer System,"Problem associated with an access that was not permitted to the computer system that may lead to modification of program, corruption of data, or and break in network security. This concept is closely associated with computer integrity which is the degree to which a system or component prevents unauthorized access to, or modification of, computer programs or data.",Unauthorized Access to Computer System,3025,"Problem associated with an access that was not permitted to the computer system that may lead to modification of program, corruption of data, or and break in network security. This concept is closely associated with computer integrity which is the degree to which a system or component prevents unauthorized access to, or modification of, computer programs or data.",IMDRF:A110502
C54451,Medical Device Problem,C63258,Data Back-Up Problem,"Problems relating to a system, component, file, procedure, or person available to replace or help restore a primary item in the event of a failure or externally caused disaster.",Data Back-Up Problem,2902,"Problems relating to a system, component, file, procedure, or person available to replace or help restore a primary item in the event of a failure or externally caused disaster.",IMDRF:A1106
C54451,Medical Device Problem,C63195,Failure to Back-Up,Problem associated with the inability to backup or to retrieve a backed up version (corrupted file) of device data or system files.,Failure to Back-Up,1047,Problem associated with the inability to backup or to retrieve a backed up version (corrupted file) of device data or system files.,IMDRF:A110601
C54451,Medical Device Problem,C63189,Failure to Convert to Back-Up,"Problem associated with a failure to transition from a primary system, component, file, procedure to a backup in response to a failure in the primary item.",Failure to Convert to Back-Up,1048,"Problem associated with a failure to transition from a primary system, component, file, procedure to a backup in response to a failure in the primary item.",IMDRF:A110602
C54451,Medical Device Problem,C91397,Data Problem,"Event in which data (charting, orders, results) is not correctly stored, transferred, updated, or displayed.",Data Problem,3196,"Event in which data (charting, orders, results) is not correctly stored, transferred, updated, or displayed.",IMDRF:A1107
C54451,Medical Device Problem,C63257,Loss of Data,"Event in which data is unintentionally permanently or temporarily lost, deleted, corrupted, or overwritten.",Loss of Data,2903,"Event in which data is unintentionally permanently or temporarily lost, deleted, corrupted, or overwritten.",IMDRF:A110701
C54451,Medical Device Problem,C91398,Patient Data Problem,Event in which data is accessed by the healthcare provider and either the wrong patient or the wrong data is retrieved despite correct inquiry procedures.,Patient Data Problem,3197,Event in which data is accessed by the healthcare provider and either the wrong patient or the wrong data is retrieved despite correct inquiry procedures.,IMDRF:A110702
C54451,Medical Device Problem,C67508,Date-Related Software Issue,Problem associated with programming of calendar dates and/or time as a factor in the operation of the device.,Date/Time-Related Software Problem,2582,Problem associated with programming of calendar dates and/or time as a factor in the operation of the device.,IMDRF:A1108
C54451,Medical Device Problem,C62952,Connection Problem,"Problem associated with linking of a device and/or the functional units set up to provide means for a transfer of liquid, gas, electricity or data.",Connection Problem,2900,"Problem associated with linking of the device and/or the functional units set up to provide means for a transfer of liquid, gas, electricity or data.",IMDRF:A12
C54451,Medical Device Problem,C63288,Blocked Connection,"Problem associated with linking of a device whereby their functional units set up to provide means for a transfer of fluid, gas, or data is prevented or impeded.",Blocked Connection,2888,"Problem associated with linking of the device whereby their functional units set up to provide means for a transfer of fluid, gas, or data is prevented or impeded.",IMDRF:A1201
C54451,Medical Device Problem,C63256,Decoupling,"Problem associated with the device being unassociated in such a way that fluid, gas, power or signal information may not be transferred from one device to another.",Decoupling,1145,"Problem associated with the device being unassociated in such a way that fluid, gas, power or signal information may not be transferred from one to another.",IMDRF:A1202
C54451,Medical Device Problem,C63223,Disconnection,"Problem associated with the linking of the device having a sufficient open space to prevent gas, liquid or electrical current flow between connectors.",Disconnection,1171,"Problem associated with the linking of the device having a sufficient open space to prevent gas, liquid or electrical current flow between connectors.",IMDRF:A1203
C54451,Medical Device Problem,C63180,Failure to Disconnect,"Problem associated with the linking of the device whereby termination of the transfer of liquid, gas, electricity, or information cannot be accomplished, or linking components do not come apart, or disconnect, when expected.",Failure to Disconnect,2541,"Problem associated with the linking of the device whereby termination of the transfer of liquid, gas, electricity, or information cannot be accomplished, or linking components do not come apart, or disconnect, when expected.",IMDRF:A1204
C54451,Medical Device Problem,C63055,Loose Connection,Problem associated with the connection of the device being loose or intermittent.,Loose or Intermittent Connection,1371,Problem associated with the connection of the device being loose or intermittent.,IMDRF:A1205
C54451,Medical Device Problem,C62915,Misconnection,"Problem associated with the connection of the device being improper or not in accordance with device specification, requirements or intended uses.",Misconnection,1399,"Problem associated with the connection of the device being improper or not in accordance with device specification, requirements or intended uses.",IMDRF:A1206
C54451,Medical Device Problem,C133626,Incomplete or Inadequate Connection,"Problem associated with a partial linking of the device whereby the device may appear to be connected however only a partial, intermittent or no transfer of liquid, gas, electricity, or information can be accomplished.",Incomplete or Inadequate Connection,4037,"Problem associated with a partial linking of the device whereby device may appear to be connected however only a partial, intermittent or no transfer of liquid, gas, electricity, or information can be accomplished.",IMDRF:A1207
C54451,Medical Device Problem,C63142,Fitting Problem,"Problem associated with the connection of the device whereby channels, switching systems, and other functional units set up to provide means for a transfer of liquid, gas, electricity, or information do not match or fit.",Fitting Problem,2183,"Problem associated with the connection of the device whereby channels, switching systems, and other functional units set up to provide means for a transfer of liquid, gas, electricity, or information do not match or fit.",IMDRF:A1208
C54451,Medical Device Problem,C63271,Communication or Transmission Problem,Problem associated with a device sending or receiving signals or data. This includes transmission among internal components of the device to which the device is intended to communicate.,Communication or Transmission Problem,2896,Problem associated with the device sending or receiving signals or data. This includes transmission among internal components of the device to which the device is intended to communicate.,IMDRF:A13
C54451,Medical Device Problem,C63164,Failure to Read Input Signal,Problem associated with a failure of the device to read a signal for interpretation or measurement.,Failure to Read Input Signal,1581,Problem associated with a failure of the device to read a signal for interpretation or measurement.,IMDRF:A1301
C54451,Medical Device Problem,C63155,Failure to Transmit Record,Problem associated with a failure of the device to transmit a record for interpretation or measurement.,Failure to Transmit Record,1521,Problem associated with a failure of the device to transmit a record for interpretation or measurement.,IMDRF:A1302
C54451,Medical Device Problem,C133627,Intermittent Communication Failure,Inconsistent or lack of intended communication of data among internal components or with other external devices.,Intermittent Communication Failure,4038,Inconsistent or lack of intended communication of data among internal components or with other external devices.,IMDRF:A1303
C54451,Medical Device Problem,C62830,Telemetry Discrepancy,Problem associated with variability of the transmission of telemetry signals.,Telemetry Discrepancy,1629,Problem associated with variability of the transmission of telemetry signals.,IMDRF:A1304
C54451,Medical Device Problem,C104820,Wireless Communication Problem,"Problems with the RF wireless technology characteristics and performance (e.g., frequency, output power, range, reception), wireless quality of service, wireless coexistence, security of wireless signals and data, and electromagnetic compatibility.",Wireless Communication Problem,3283,"Problems with the RF wireless technology characteristics and performance (e.g., frequency, output power, range, reception), wireless quality of service, wireless coexistence, security of wireless signals and data, and electromagnetic compatibility.",IMDRF:A1305
